,ra,dec,Vmag,plx,sy_dist,name
115,336.77212695840996,65.13226676311,5.515,0.9686,1032.4179227751395,* 26 Cep                           
116,115.95195672770248,-28.954826210338332,3.93,0.9732,1027.5380189066996,* l Pup                            
117,304.66279997014,34.98277055214,5.162,0.974,1026.6940451745381,* 35 Cyg                           
118,250.41760905925997,-49.65155234262,5.68,0.9741,1026.588645929576,HD 150168                          
119,150.50040061417997,-60.42089089601,5.928,0.9797,1020.7206287639073,HD 87283                           
120,92.125,13.95111111111111,5.9,0.982,1018.3299389002036,NGC 2169                           
121,75.49222653614999,43.823310309810005,2.99,0.9879,1012.2482032594392,* eps Aur                          
122,254.4970833333333,-45.95111111111111,5.9,0.988,1012.1457489878543,NGC 6250                           
123,189.09777201446,59.486939026820004,5.5,0.9894,1010.713563776026,V* T UMa                           
124,326.22199641235,62.46056906868,5.94,0.9978,1002.2048506714772,HD 207198                          
125,329.1630895679787,63.625550454566664,4.9,1.0033,996.7108541812019,V* VV Cep                          
126,278.14384413886,57.045596048229996,4.761,1.02,980.3921568627451,* d Dra                            
127,331.28662397211997,62.27981460276,5.11,1.0221,978.3778495254868,* 19 Cep                           
128,261.8019208840299,-50.63037272641,5.898,1.0244,976.1811792268645,HD 157662                          
129,324.48010058100994,62.08194177133,4.73,1.0251,975.5145839430301,* 9 Cep                            
130,52.267220373399994,59.94033365683,4.22,1.0527,949.9382540134892,HD 21291                           
131,48.949877085039994,57.140623183209996,5.79,1.0637,940.114693992667,HD 20041                           
132,8.2499661817525,62.93178142392444,4.16,1.0644,939.4964299135663,* kap Cas                          
133,304.52911585571997,40.73208383725,5.958,1.0669,937.2949667260287,HD 193322A                         
134,106.66986133333332,-11.294011,5.39,1.07,934.5794392523364,HD 53974                           
135,9.113935969899998,60.326213207150005,5.792,1.0737,931.3588525658935,HD 3283                            
136,30.750781715649993,64.39001801859001,5.614,1.077,928.5051067780872,* 53 Cas                           
137,319.84241313693997,38.23746356268,5.882,1.0831,923.2757824762256,V* V1334 Cyg                       
138,216.27636230593998,-68.19533376819,5.62,1.0937,914.3275121148396,HD 125835                          
139,248.52091401572375,-44.04531127887389,4.94,1.0967,911.8263882556762,* mu. Nor                          
140,101.90508740908,-8.998502719729998,5.062,1.102,907.4410163339383,HD 49331                           
141,81.78446816178,30.20860273249,5.72,1.1026,906.9472156720478,HD 35600                           
142,298.02985934874,47.9317949462,5.897,1.1158,896.2179602079226,HD 188252                          
143,27.03083333333333,71.73805555555556,5.7,1.137,879.5074758135444,Cl Collinder 463                   
144,322.7470485378099,60.45943182228,5.522,1.1477,871.3078330574192,HD 205139                          
145,314.14490794294994,44.92472246998,5.96,1.1507,869.0362388111583,HD 199579                          
146,263.67705055723997,-32.58166540311,5.7,1.1666,857.1918395336876,HD 159176                          
147,319.3539677916983,39.394679733096666,4.24,1.1711,853.8980445734779,* sig Cyg                          
148,332.8774021296,59.4144872958,5.05,1.1761,850.2678343678258,* lam Cep                          
149,347.4339120861599,59.332690849760006,5.679,1.19,840.3361344537816,* 2 Cas                            
150,244.2538931134712,-50.06812142537778,5.09,1.2046,830.1510874979247,* gam01 Nor                        
151,229.70476361891,-60.49633221195,5.46,1.2091,827.0614506657844,HD 135591                          
152,114.57586847573998,-48.60143459938,5.658,1.2142,823.5875473562841,* y03 Pup                          
153,109.15347732103999,-23.315593963850002,4.79,1.2155,822.7067050596462,* 145 CMa                          
154,98.22594959231998,7.332969697619999,4.5,1.2159,822.4360555966773,* 13 Mon                           
155,229.15287394189917,-60.903999995807496,5.81,1.219,820.3445447087777,HD 135160                          
156,122.99986135137998,-46.64434951026,5.76,1.2379,807.8196946441554,V* AH Vel                          
157,155.06964818808,-47.69909049989,5.614,1.2399,806.5166545689169,HD 89736                           
158,168.3782605063,-59.61931742231,5.74,1.2402,806.3215610385422,HD 97670                           
159,127.36451441666665,-44.72481211111111,5.15,1.25,800.0,HD 72127                           
160,68.00766961286,53.91083771366,5.77,1.263,791.7656373713382,* 1 Cam A                          
161,336.12913122019995,49.47639182907,4.58,1.2656,790.1390644753477,* 4 Lac                            
162,112.69779651892999,-9.77687707708,5.82,1.2778,782.5950853028643,V* U Mon                           
163,103.53313445883,-24.18421097264,3.87,1.2869,777.0611547128759,* omi01 CMa                        
164,218.73416666666665,-56.64,5.5,1.288,776.3975155279503,NGC 5662                           
165,243.32070513081996,-53.671174327589995,5.944,1.2918,774.1136398823347,* 39 Nor                           
166,304.90247763239995,47.89419352273,5.9,1.2992,769.704433497537,V* U Cyg                           
167,98.81595221267999,0.8902181017499999,5.86,1.302,768.0491551459294,HD 46769                           
168,19.049591323519998,71.74384035569,5.86,1.3148,760.5719501064801,HD 7389                            
169,71.02216969762999,-8.5035701902,5.81,1.3187,758.322590429969,* 56 Eri                           
170,230.65571287299,39.5814616269,5.532,1.3232,755.7436517533254,HD 137071                          
171,332.2457930129899,-18.51959339701,5.793,1.335,749.063670411985,* 35 Aqr                           
172,102.59070168660999,-17.08455232328,5.771,1.3356,748.7271638215035,HD 49980                           
173,270.47658748274995,-22.78029423012,5.77,1.3357,748.671108781912,HD 164402                          
174,211.8470833333333,-48.285,5.6,1.34,746.2686567164179,NGC 5460                           
175,106.84411415090997,-23.840714952189998,5.83,1.3486,741.5097137772506,HD 54309                           
176,113.44986160176998,-14.523903987850002,4.97,1.3538,738.6615452799529,V* KQ Pup                          
177,101.49916666666665,-20.71611111111111,4.5,1.36,735.2941176470588,M 41                               
178,324.74008157168,57.489042782300004,5.62,1.3604,735.0779182593354,HD 206267                          
179,98.16240683717999,-32.03044264105,5.706,1.3656,732.2788517867604,HD 46547                           
180,270.16131578874996,2.93156483414,3.93,1.3731,728.279076542131,* 67 Oph                           
181,1.0569268875699998,62.287664230809995,5.884,1.3781,725.6367462448297,* 9 Cas                            
182,130.5308333333333,-48.09,4.6,1.379,725.1631617113851,IC 2395                            
183,0.40423349108999995,61.22279985728,5.567,1.3825,723.3273056057866,HD 224893                          
184,130.27216610598998,-48.92268114748,5.879,1.4006,713.9797229758674,HD 74273                           
185,344.10832662542,49.73354408009,4.94,1.4018,713.3685261806249,V* V424 Lac                        
186,130.30470417271,-47.31713042594,4.77,1.4107,708.8679379031687,* n Vel                            
187,128.79,-44.40694444444444,5.9,1.414,707.2135785007073,Cl Pismis 4                        
188,108.56466389370999,-9.94753291484,5.882,1.4158,706.3144511936714,HD 55832                           
189,132.63941926254998,-46.5291875852,5.11,1.4174,705.5171440666007,* f Vel                            
190,266.896164459565,-40.126997362328055,2.992,1.4177,705.3678493334273,* iot01 Sco                        
191,75.61951434554707,41.07583198882222,3.75,1.4244,702.0499859590002,* zet Aur                          
192,229.23706629149999,-60.95725557726,5.09,1.4345,697.1070059254096,* del Cir                          
193,237.14339784472998,28.156748847899998,5.71,1.4366,696.0879855213699,V* R CrB                           
194,227.81659721801998,-55.346029975520004,5.43,1.4446,692.2331441229405,HD 134270                          
195,319.61327592468996,43.94594420774,5.0,1.4498,689.7503103876397,* 68 Cyg                           
196,139.09598034432997,-44.26573209878,5.094,1.4588,685.4949273375377,HD 80108                           
197,314.95647551979,47.52093437401,4.75,1.4681,681.1525100469995,* f01 Cyg                          
198,284.33532038595996,-20.65634787079,5.054,1.4685,680.9669731018046,* ksi01 Sgr                        
199,118.07866213612,-14.84617792833,5.689,1.4691,680.6888571234089,* 10 Pup                           
200,83.18256716166665,-17.82228927222222,2.57,1.47,680.2721088435375,* alf Lep                          
201,87.62511429561998,2.0247029092499997,5.976,1.4703,680.1333061280011,BD+01 1148                         
202,337.3826173137183,47.706905899615,4.37,1.4838,673.9452756436177,* 5 Lac                            
203,108.48499999999999,-30.758055555555554,3.6,1.501,666.2225183211193,Cl Collinder 132                   
204,185.48928179755998,-56.37438487446,5.884,1.5081,663.0860022544924,HD 107543                          
205,232.35112468784996,-46.73270517977,5.222,1.5186,658.5012511523772,HD 137709                          
206,103.94553360331,-22.94144259612,5.3,1.5187,658.457891617831,HD 51283                           
207,129.41097067566457,-42.9890806329775,4.14,1.5188,658.4145377929946,* e Vel                            
208,83.05313179526708,18.59423660180722,4.33,1.5207,657.5918984678109,* 119 Tau                          
209,228.65549934059996,-31.51912384467,4.918,1.5243,656.03883749918,* i Lup                            
210,118.32565615373707,-48.10293513179667,4.24,1.5288,654.1077969649399,* J Pup                            
211,131.21636116844996,-37.14725111745,5.722,1.5348,651.5506906437321,HD 74824                           
212,110.22881407091998,-26.96383680288,5.986,1.5391,649.7303618998117,V* HQ CMa                          
213,198.57220716634995,-78.44745448784,5.839,1.5528,643.9979392065945,HD 114533                          
214,61.11317891790999,59.15550907452,5.12,1.5558,642.7561383211209,HD 25291                           
215,246.33208333333334,-40.66111111111111,5.8,1.557,642.2607578676943,NGC 6124                           
216,125.30041316641997,-57.97322000661,5.954,1.5588,641.5191172696947,HD 70839                           
217,163.6233442064,-61.82662162494,5.9,1.5704,636.7804381049414,HD 94683                           
218,295.68585826468995,32.426742305139996,5.925,1.5718,636.213258684311,HD 186377                          
219,107.42926524637998,-25.231033599569997,5.69,1.5724,635.970490969219,HD 54912                           
220,114.17098015982998,-19.70234028338,5.699,1.5724,635.970490969219,V* PT Pup                          
221,81.11923920093791,-2.3971469508627776,3.59,1.5783,633.5931065070013,* eta Ori A                        
222,158.2027932954154,9.306584816652222,3.87,1.5913,628.4170175328348,* rho Leo                          
223,263.28078791362,-41.1730654939,5.838,1.5943,627.2345229881453,HD 158799                          
224,81.70334836509,34.39180684884,5.905,1.611,620.7324643078833,HD 35520                           
225,119.24083561428999,-43.50040226652,5.346,1.621,616.9031462060457,HD 65460                           
226,88.73619536235,19.749617915370003,5.894,1.6307,613.2335806708775,* 57 Ori                           
227,356.50852930960997,46.42027401636,4.966,1.6352,611.545988258317,* psi And                          
228,51.16898632478999,64.58599440748,5.19,1.6385,610.3143118706133,V* CQ Cam                          
229,111.0237595,-29.3031055,2.45,1.64,609.7560975609756,* eta CMa                          
230,101.11861293479,-31.07052565495,5.17,1.6454,607.7549532028686,* 10 CMa                           
231,1.1254948012408332,-10.509521917923333,4.924,1.6457,607.6441635778089,* 3 Cet                            
232,84.05338895833331,-1.2019191388888888,1.69,1.65,606.0606060606061,* eps Ori                          
233,101.37995320518999,-30.94898047006,5.68,1.65,606.0606060606061,HD 49131                           
234,237.77835067764997,-55.05553573777,5.767,1.6512,605.6201550387597,HD 141318                          
235,316.62601751304,31.18465636013,5.82,1.6594,602.6274557068821,V* DT Cyg                          
236,299.00526206143996,16.63479501567,5.36,1.6673,599.7720866070892,* 10 Sge                           
